Search type: State
North Carolina
Accepted Symbol,Synonym Symbol,Scientific Name,Common Name,FIPS Code
QUERC,,Quercus L.,oak,US37
QUAS3,,Quercus ×ashei Trel. [incana × laevis],hybrid oak,US37
QUAS3,QUAS4,Quercus ×asheana Little,,US37
QUAT,,Quercus ×atlantica Ashe (pro sp.) [incana × laurifolia],hybrid oak,US37
QUAT,QUSU9,Quercus ×sublaurifolia Trel. ex Palmer,,US37
QUBE,,Quercus ×beadlei Trel. ex Palmer [alba × michauxii],Beadle oak,US37
QUBE4,,Quercus ×bernardiensis W. Wolf (pro sp.) [michauxii × stellata],hybrid oak,US37
QUBL,,Quercus ×blufftonensis Trel. [falcata × laevis],hybrid oak,US37
QUBU,,Quercus ×bushii Sarg. [marilandica × velutina],Bush oak,US37
QUCA,,Quercus ×caduca Trel. [incana × nigra],hybrid oak,US37
QUCA2,,Quercus ×capesii W. Wolf [nigra × phellos],hybrid oak,US37
QUCR,,Quercus ×cravenensis Little [incana × marilandica],Craven oak,US37
QUCR,QUCA9,Quercus ×carolinensis Trel.,,US37
QUDE2,,Quercus ×demareei Ashe [nigra × velutina],hybrid oak,US37
QUFE2,,Quercus ×fernowii Trel. [alba × stellata],Fernow oak,US37
QUGA3,,Quercus ×garlandensis Palmer [falcata × nigra],hybrid oak,US37
QUIN5,,Quercus ×incomita Palmer [falcata × marilandica],hybrid oak,US37
QULE,,Quercus ×leana Nutt. (pro sp.) [imbricaria × velutina],hybrid oak,US37
QULU,,Quercus ×ludoviciana Sarg. [pagoda × phellos],hybrid oak,US37
QUME,,Quercus ×mellichampii Trel. ex Sarg. [laevis × laurifolia],hybrid oak,US37
QUPA3,,Quercus ×palmeriana A. Camus [falcata × imbricaria],hybrid oak,US37
QUPA3,QUAN2,Quercus ×anceps Palmer,,US37
QUPO,,Quercus ×podophylla Trel. [incana × velutina],hybrid oak,US37
QURU2,,Quercus ×rudkinii Britton (pro sp.) [marilandica × phellos],hybrid oak,US37
QURU2,QUDU6,Quercus ×dubia Ashe,,US37
QURU3,,Quercus ×runcinata (A. DC.) Engelm. [imbricaria × rubra],hybrid oak,US37
QUSA,,Quercus ×saulii C.K. Schneid. [alba × montana],hybrid oak,US37
QUST3,,Quercus ×sterilis Trel. ex Palmer [marilandica × nigra],hybrid oak,US37
QUSU2,,Quercus ×subintegra (Engelm.) Trel. [falcata × incana],hybrid oak,US37
QUSU2,QUFAS,Quercus falcata Michx. var. subintegra Engelm.,,US37
QUTO4,,Quercus ×tottenii Melvin [lyrata × michauxii],hybrid oak,US37
QUWA,,Quercus ×walteriana Ashe [laevis × nigra],hybrid oak,US37
QUWI,,"Quercus ×willdenowiana (Dippel) Beissner, Schelle & Zabel (pro sp.) [falcata × velutina]",hybrid oak,US37
QUWI,QUPI,Quercus ×pinetorum Moldenke,,US37
QUAC80,,Quercus acutissima Carruthers,sawtooth oak,US37
QUAL,,Quercus alba L.,white oak,US37
QUAL,QUALS,Quercus alba L. var. subcaerulea A.L. Pickens & M.C. Pickens,,US37
QUAL,QUALS2,Quercus alba L. var. subflavea A.L. Pickens & M.C. Pickens,,US37
QUAU,,Quercus austrina Small,bastard white oak,US37
QUBI,,Quercus bicolor Willd.,swamp white oak,US37
QUCO2,,Quercus coccinea Münchh.,scarlet oak,US37
QUCOC,,Quercus coccinea Münchh. var. coccinea,scarlet oak,US37
QUCOC,QURI3,Quercus ×richteri Baenitz,,US37
QUFA,,Quercus falcata Michx.,southern red oak,US37
QUFA,QUFAT,Quercus falcata Michx. var. triloba (Michx.) Nutt.,,US37
QUFA,QUTR3,Quercus triloba Michx.,,US37
QUGE2,,Quercus geminata Small,sand live oak,US37
QUGE2,QUVIG,Quercus virginiana Mill. var. geminata (Small) Sarg.,,US37
QUGE2,QUVIM3,Quercus virginiana Mill. var. maritima (Michx.) Sarg.,,US37
QUGE,,Quercus georgiana M.A. Curtis,Georgia oak,US37
QUHE2,,Quercus hemisphaerica W. Bartram ex Willd.,Darlington oak,US37
QUHEH,,Quercus hemisphaerica W. Bartram ex Willd. var. hemisphaerica,Darlington oak,US37
QUHEM,,Quercus hemisphaerica W. Bartram ex Willd. var. maritima (Michx.) C.H. Mull.,Darlington oak,US37
QUHEM,QUMA10,"Quercus maritima (Michx.) Willd., non W. Bartram",,US37
QUIL,,Quercus ilicifolia Wangenh.,bear oak,US37
QUIM,,Quercus imbricaria Michx.,shingle oak,US37
QUIN,,Quercus incana W. Bartram,bluejack oak,US37
QUIN,QUCI,Quercus cinerea Michx.,,US37
